窗口名,地点,餐品,价格
毛氏卤肉饭,一食堂三楼,招牌卤肉+两配菜,10元
,,卤鸡腿+两配菜,10元
,,卤猪脚+两配菜,13元
,,卤鸭肠+两配菜,10元
,,卤肉肠+两配菜,10元
,,卤鸭腿+两配菜,13元
,,任意双拼,13元
,,卤牛肉+两配菜,15元
,,卤手撕鸡+两配菜,10元
,,蒜苗辣仔鸡+两配菜,10元
,,秘制黄焖鸡+两配菜,10元
,,鸡鸭双拼+两配菜,13元
,,毛氏红烧肉+两配菜,12元
,,任意三拼,15元
,,米饭,免费
,,打包盒,0.5元/个
小碗菜,一食堂三楼,蒸鸡蛋,2元
,,蒸南瓜,2元
,,酸辣土豆丝,2元
,,韭菜炒鸡蛋,2元
,,手撕包菜,2元
,,青菜,2元
,,上海青,2元
,,空心菜,2元
,,口味花菜,3元
,,麻婆豆腐,3元
,,清炒藕片,3元
,,肉沫粉丝,3元
,,胡萝卜炒肉,3元
,,清炒莴笋,3元
,,西红柿炒蛋,3元
,,韭菜煎鸡蛋,3元
,,黄瓜火腿,3元
,,茄子豆角,3元
,,肉沫油豆腐,3元
,,家常豆腐,3元
,,包菜粉条,3元
,,千页豆腐,4元
,,土豆片炒肉,4元
,,木耳炒肉,4元
,,西兰花炒肉,4元
,,长豆角炒肉,4元
,,小炒玉米粒,4元
,,香菇炒肉,4元
,,平菇炒蛋,4元
,,黑木耳炒肉,4元
,,香干炒肉,4元
,,千张炒肉,4元
,,腐竹炒肉,4元
,,玉米排骨汤,4元
,,莲藕排骨汤,4元
,,海带排骨汤,4元
,,小酥肉,5元
,,糍粑鱼块,5元
,,酸辣鸡杂,5元
,,水煮鱼片,5元
,,红烧鱼块,5元
,,脆香鸡,5元
,,雪花鸡排,5元
,,叉烧鸡腿,5元
,,口水鸡,6元
,,肉丸子,6元
,,红烧肉炖土豆,6元
,,啤酒鸭,6元
,,青椒炒鸡,6元
,,辣子鸡丁,6元
,,香菇蒸鸡,6元
,,粉蒸排骨,6元
,,孜然肉片,6元
,,蒜苗炒腊肠,6元
,,小鱼小虾,6元
,,红烧猪脚,8元
,,胡萝卜牛腩,8元
,,辣烧排骨,8元
,,米饭,1元
刘福恺炸鸡腿,一食堂三楼,黄金大鸡腿,9.9元/2个（6元/个，14.8元/3个）
,,鸡全翅,8元/个
,,黄金大鸡架,9元/个
,,卡兹脆薯条,12.5元/半斤
,,手枪腿,8.8元/个
